NOME_CURSO,ID_CURSO
Mestrado Profissional em Matemática - PROFMAT,1433
Meteorologia - Bacharelado,980
Mobilidade Acadêmica,964
Música - Bacharelado,1001
Música - Licenciatura Plena,825
Música e Tecnologia - Bacharelado,1391
Nutrição,2404
Odontologia,678
Pedagogia - Licenciatura Plena Diurno,1061
Pedagogia - Licenciatura Plena Noturno,1059
Pedagogia-Licenciatura/Distância/Cachoeira do Sul/RS,1945
Pedagogia-Licenciatura/Distância/Cerro Largo/RS,1839
Pedagogia-Licenciatura/Distância/Encantado/RS,1833
Pedagogia-Licenciatura/Distância/Jacuizinho/RS,1834
Pedagogia-Licenciatura/Distância/Novo Hamburgo/RS,1840
Pedagogia-Licenciatura/Distância/Palmeira das Missões/RS,1586
Pedagogia-Licenciatura/Distância/Santana da Boa Vista/RS,1955
Pedagogia-Licenciatura/Distância/São Sepé/RS,1836
Pedagogia-Licenciatura/Distância/Sapucaia do Sul/RS,1838
Pedagogia-Licenciatura/Distância/Sarandi/RS,1969
Pedagogia-Licenciatura/Distância/Seberi/RS,1841
Pedagogia-Licenciatura/Distância/Sobradinho/RS,1091
Pedagogia-Licenciatura/Distância/Tapejara/RS,1092
Pedagogia-Licenciatura/Distância/Tio Hugo/RS,1842
Pedagogia-Licenciatura/Distância/Três de Maio/RS,1093
Pedagogia-Licenciatura/Distância/Três Passos/RS,1094
Pedagogia/Distância/Cruz Alta/RS,1085
Pedagogia/Distância/Panambi/RS,1205
Pedagogia/Distância/Restinga Sêca/RS,1088
Pedagogia/Distância/Santana do Livramento/RS,1089
PG - Administração - Doutorado,1465
PG - Administração - Mestrado Acadêmico,953
PG - Ciências do Movimento e Reabilitação - Mestrado Acadêmico,2264
PG - Comunicação - Doutorado,1466
PG - Comunicação - Mestrado Acadêmico,1022
PG - Gerontologia - Mestrado Acadêmico,1645
PG - Mestrado Profissional em Tecnologias Educacionais em Rede,1551
PG - Psicologia - Doutorado Acadêmico,1923
PG - Psicologia - Mestrado Acadêmico,1857
PG - Relações Internacionais - Mestrado Acadêmico,1912
PG Agronomia - Agricultura e Ambiente - Mestrado - CAMPUS UFSM-FW,1402
PG Agronomia - Doutorado,714
PG Agronomia - Produção Vegetal - Mestrado,713
PG Biodiversidade Animal - Doutorado,1184
PG Biodiversidade Animal - Mestrado,1178
PG Bioquímica Toxicológica - Doutorado,947
PG Bioquímica Toxicológica - Mestrado,707
PG Ciência e Tecnologia dos Alimentos - D,1174
PG Ciência e Tecnologia dos Alimentos - M,758
PG Distúrbios da Comunicação Humana - Doutorado,1399
PG Distúrbios da Comunicação Humana - Mestrado,783
PG Doutorado em Ciência do Solo,936
PG Doutorado em Extensão Rural,1106
PG Educação - Doutorado,1142
PG Educação - Mestrado,830
PG Educação Ambiental,761
PG em Administração Pública - Mestrado Acadêmico,2136
PG em Agricultura de Precisão - Mestrado Profissional,1403
PG em Agrobiologia - Mestrado,1338
PG em Agronegócios - Mestrado Acadêmico/CAMPUS/PM,1854
"PG em Arquitetura, Urbanismo e Paisagismo - Mestrado",1888
PG em Artes Visuais - Doutorado Acadêmico,1919
PG em Artes Visuais - Mestrado,1062
PG em Ciência e Tecnologia Ambiental - Mestrado - CAMPUS UFSM-FW,1911
PG em Ciências Contábeis - Mestrado Acadêmico,2164
PG em Ciências Farmacêuticas - Doutorado,1454
PG em Ciências Farmacêuticas - Mestrado,962
PG em Ciências Odontológicas - Doutorado,1556
PG em Ciências Odontológicas - Mestrado,1128
PG em Ciências Sociais - Doutorado,1906
PG em Ciências Sociais - Mestrado,1129
PG em Economia e Desenvolvimento - Mestrado Acadêmico,1406
PG em Educação Matemática e Ensino de Física - Mestrado,1576
PG em Engenharia Ambiental - Doutorado Acadêmico,1935
